id,survey_id,date_start,location_id,entered_sref,entered_sref_system,created_on,created_by_id,LATITUDE,LONGITUDE,monad,monadCRS,country
3118492,154,02/06/2017,164525,J4440935506,OSIE,11:05.0,128199,54.24793682,-5.784245723,J4435,OSIE,Northern_Ireland
3118495,154,29/09/2017,164525,J4440935506,OSIE,16:31.0,128199,54.24793682,-5.784245723,J4435,OSIE,Northern_Ireland
3118557,154,02/06/2017,164518,J4232336423,OSIE,07:08.0,128199,54.25675367,-5.815791276,J4236,OSIE,Northern_Ireland
3118534,154,02/06/2017,164520,J4226336153,OSIE,37:46.0,128199,54.25434622,-5.816839448,J4236,OSIE,Northern_Ireland
3118546,154,02/06/2017,164519,J4216536315,OSIE,57:14.0,128199,54.25582791,-5.818265332,J4236,OSIE,Northern_Ireland
3118580,154,02/06/2017,164517,J4248636645,OSIE,28:32.0,128199,54.2587015,-5.813186254,J4236,OSIE,Northern_Ireland
3118591,154,02/06/2017,164508,J4237536648,OSIE,37:45.0,128199,54.25875931,-5.814887032,J4236,OSIE,Northern_Ireland
3544650,154,01/06/2018,197313,J5121065857,OSIE,23:18.0,105830,54.5184395,-5.664562032,J5165,OSIE,Northern_Ireland
3544659,154,01/06/2018,197314,J5176165613,OSIE,42:15.0,105830,54.51608459,-5.656185237,J5165,OSIE,Northern_Ireland
3544662,154,01/06/2018,197315,J5164765546,OSIE,55:10.0,105830,54.51551723,-5.657978657,J5165,OSIE,Northern_Ireland
3544720,154,01/06/2018,197316,J5136565090,OSIE,01:58.0,105830,54.511508,-5.662563649,J5165,OSIE,Northern_Ireland
3544722,154,01/06/2018,197317,J5130765030,OSIE,10:25.0,105830,54.51098669,-5.663489232,J5165,OSIE,Northern_Ireland
3590597,154,13/06/2018,197752,H7507439673,OSIE,19:28.0,95882,54.30022746,-6.846697762,H7539,OSIE,Northern_Ireland
3648506,154,27/05/2018,185468,C9663746023,OSIE,31:49.0,142131,55.25172315,-6.480160762,C9646,OSIE,Northern_Ireland
3590578,154,13/06/2018,197748,H7510739894,OSIE,13:27.0,95882,54.30220783,-6.846135407,H7539,OSIE,Northern_Ireland
3825675,154,13/06/2018,201806,H7826137121,OSIE,45:33.0,95882,54.27682561,-6.798417927,H7837,OSIE,Northern_Ireland
3873492,154,19/06/2018,146624,J2719025653,OSIE,32:04.0,95882,54.16402604,-6.052432949,J2725,OSIE,Northern_Ireland
3874316,154,19/06/2018,146619,J2715325320,OSIE,47:43.0,95882,54.16104496,-6.053139561,J2725,OSIE,Northern_Ireland
3873224,154,19/06/2018,146622,J2705525833,OSIE,19:59.0,95882,54.16567579,-6.054422923,J2725,OSIE,Northern_Ireland
3874384,154,19/06/2018,146620,J2724425311,OSIE,02:13.0,95882,54.16094162,-6.051750938,J2725,OSIE,Northern_Ireland
3901973,154,16/08/2018,146624,J2719025653,OSIE,15:56.0,95882,54.16402604,-6.052432949,J2725,OSIE,Northern_Ireland
3905559,154,16/08/2018,146622,J2705525833,OSIE,49:37.0,95882,54.16567579,-6.054422923,J2725,OSIE,Northern_Ireland
3910503,154,16/08/2018,146620,J2724425311,OSIE,52:17.0,95882,54.16094162,-6.051750938,J2725,OSIE,Northern_Ireland
3922257,154,19/08/2018,197317,J5130765030,OSIE,55:39.0,105830,54.51098669,-5.663489232,J5165,OSIE,Northern_Ireland
3922276,154,19/08/2018,197316,J5136565090,OSIE,07:09.0,105830,54.511508,-5.662563649,J5165,OSIE,Northern_Ireland
3922279,154,19/08/2018,197315,J5164765546,OSIE,12:26.0,105830,54.51551723,-5.657978657,J5165,OSIE,Northern_Ireland
3922324,154,19/08/2018,197314,J5176165613,OSIE,18:18.0,105830,54.51608459,-5.656185237,J5165,OSIE,Northern_Ireland
3922336,154,19/08/2018,197313,J5121065857,OSIE,30:59.0,105830,54.5184395,-5.664562032,J5165,OSIE,Northern_Ireland
3934522,154,04/07/2018,163856,H7037750991,OSIE,04:28.0,120750,54.40256522,-6.91616639,H7050,OSIE,Northern_Ireland
3934535,154,04/07/2018,163855,H7039350956,OSIE,10:34.0,120750,54.40224861,-6.915928326,H7050,OSIE,Northern_Ireland
4069541,154,23/05/2018,179038,J4841397147,OSIE,20:24.0,133430,54.80015275,-5.691847141,J4897,OSIE,Northern_Ireland
4069483,154,23/05/2018,179036,J4839897134,OSIE,01:28.0,133430,54.80004049,-5.692086866,J4897,OSIE,Northern_Ireland
4210639,154,18/05/2018,186290,D3007824484,OSIE,25:09.0,144474,55.05067382,-5.964424821,D3024,OSIE,Northern_Ireland
4210739,154,09/09/2018,186290,D3007824484,OSIE,34:37.0,144474,55.05067382,-5.964424821,D3024,OSIE,Northern_Ireland
4210777,154,18/05/2018,186289,D3017224198,OSIE,51:06.0,144474,55.04808155,-5.963085245,D3024,OSIE,Northern_Ireland
4210803,154,09/09/2018,186289,D3017224198,OSIE,14:57.0,144474,55.04808155,-5.963085245,D3024,OSIE,Northern_Ireland
4530525,154,03/08/2018,164519,J4216536315,OSIE,59:59.0,128199,54.25582791,-5.818265332,J4236,OSIE,Northern_Ireland
4531626,154,03/08/2018,164518,J4232336423,OSIE,09:34.0,128199,54.25675367,-5.815791276,J4236,OSIE,Northern_Ireland
4531764,154,25/07/2018,164517,J4248636645,OSIE,56:39.0,128199,54.2587015,-5.813186254,J4236,OSIE,Northern_Ireland
4531796,154,13/09/2018,164517,J4248636645,OSIE,08:15.0,128199,54.2587015,-5.813186254,J4236,OSIE,Northern_Ireland
4531802,154,26/07/2018,164508,J4237536648,OSIE,16:49.0,128199,54.25875931,-5.814887032,J4236,OSIE,Northern_Ireland
4531808,154,13/09/2018,164508,J4237536648,OSIE,24:32.0,128199,54.25875931,-5.814887032,J4236,OSIE,Northern_Ireland
4531839,154,03/08/2018,164520,J4226336153,OSIE,35:50.0,128199,54.25434622,-5.816839448,J4236,OSIE,Northern_Ireland
4531862,154,13/09/2018,164520,J4226336153,OSIE,47:27.0,128199,54.25434622,-5.816839448,J4236,OSIE,Northern_Ireland
4531654,154,13/09/2018,164518,J4232336423,OSIE,32:48.0,128199,54.25675367,-5.815791276,J4236,OSIE,Northern_Ireland
4530567,154,13/09/2018,164519,J4216536315,OSIE,08:17.0,128199,54.25582791,-5.818265332,J4236,OSIE,Northern_Ireland
4533223,154,06/10/2018,185468,C9663746023,OSIE,34:39.0,142131,55.25172315,-6.480160762,C9646,OSIE,Northern_Ireland
7345637,154,24/05/2019,165669,H4690431357,OSIE,59:08.0,36513,54.22887745,-7.280700878,H4631,OSIE,Northern_Ireland
3521875,154,25/05/2018,196670,J4912745553,OSIE,04:40.0,155676,54.33678206,-5.706909841,J4945,OSIE,Northern_Ireland
6453622,154,20/08/2018,179925,J2625939887,OSIE,23:46.0,95882,54.29207201,-6.060695627,J2639,OSIE,Northern_Ireland
6648497,154,27/05/2018,185468,C9663746023,OSIE,29:40.0,142131,55.25172315,-6.480160762,C9646,OSIE,Northern_Ireland
6648598,154,26/08/2019,185468,C9663746023,OSIE,45:14.0,142131,55.25172315,-6.480160762,C9646,OSIE,Northern_Ireland
6731039,154,01/09/2018,193381,J3536268200,OSIE,08:41.0,47527,54.54395329,-5.908066316,J3568,OSIE,Northern_Ireland
6731046,154,01/09/2018,193382,J35372673,OSIE,13:14.0,47527,54.17164569,-5.926712447,J3526,OSIE,Northern_Ireland
6731048,154,01/09/2018,193383,J3543265600,OSIE,16:27.0,47527,54.52059091,-5.908179735,J3565,OSIE,Northern_Ireland
6731050,154,01/09/2018,193384,J3554265500,OSIE,19:27.0,47527,54.51966369,-5.906527932,J3565,OSIE,Northern_Ireland
6731052,154,01/09/2018,193385,J3571526612,OSIE,21:58.0,47527,54.17045592,-5.921556591,J3526,OSIE,Northern_Ireland
2452759,154,05/04/2017,178722,H6009949808,OSIE,37:56.0,95882,54.39325453,-7.074664917,H6049,OSIE,Northern_Ireland
3028382,154,14/09/2017,178722,H6009949808,OSIE,50:19.0,95882,54.39325453,-7.074664917,H6049,OSIE,Northern_Ireland
3647872,154,19/06/2018,146623,J2709825688,OSIE,27:34.0,95882,54.1643631,-6.053826019,J2725,OSIE,Northern_Ireland
3904875,154,16/08/2018,146623,J2709825688,OSIE,43:04.0,95882,54.1643631,-6.053826019,J2725,OSIE,Northern_Ireland
1865895,154,09/08/2016,146621,J2749825502,OSIE,53:24.0,95882,54.16259378,-6.047783662,J2725,OSIE,Northern_Ireland
3910706,154,16/08/2018,146621,J2749825502,OSIE,48:12.0,95882,54.16259378,-6.047783662,J2725,OSIE,Northern_Ireland
6787548,154,07/09/2019,186289,D3017224198,OSIE,59:03.0,144474,55.04808155,-5.963085245,D3024,OSIE,Northern_Ireland
6787471,154,02/06/2019,186289,D3017224198,OSIE,15:28.0,144474,55.04808155,-5.963085245,D3024,OSIE,Northern_Ireland
6787510,154,07/09/2019,186290,D3007824484,OSIE,36:02.0,144474,55.05067382,-5.964424821,D3024,OSIE,Northern_Ireland
6787381,154,02/06/2019,186290,D3007824484,OSIE,00:29.0,144474,55.05067382,-5.964424821,D3024,OSIE,Northern_Ireland
6852317,154,18/09/2019,179036,J4839897134,OSIE,18:58.0,133430,54.80004049,-5.692086866,J4897,OSIE,Northern_Ireland
6852403,154,18/09/2019,179038,J4841397147,OSIE,35:54.0,133430,54.80015275,-5.691847141,J4897,OSIE,Northern_Ireland
7223659,154,07/09/2019,193382,J35372673,OSIE,09:21.0,47527,54.17164569,-5.926712447,J3526,OSIE,Northern_Ireland
7223686,154,07/09/2019,193383,J3543265600,OSIE,13:01.0,47527,54.52059091,-5.908179735,J3565,OSIE,Northern_Ireland
7223693,154,07/09/2019,193385,J3571526612,OSIE,18:44.0,47527,54.17045592,-5.921556591,J3526,OSIE,Northern_Ireland
7223694,154,07/09/2019,193384,J3554265500,OSIE,22:33.0,47527,54.51966369,-5.906527932,J3565,OSIE,Northern_Ireland
7223698,154,07/09/2019,193381,J3536268200,OSIE,25:19.0,47527,54.54395329,-5.908066316,J3568,OSIE,Northern_Ireland
11994777,154,09/10/2020,146623,J2709825688,OSIE,08:20.0,95882,54.1643631,-6.053826019,J2725,OSIE,Northern_Ireland
11994778,154,09/10/2020,146624,J2719025653,OSIE,08:37.0,95882,54.16402604,-6.052432949,J2725,OSIE,Northern_Ireland
11995964,154,09/10/2020,146622,J2705525833,OSIE,28:39.0,95882,54.16567579,-6.054422923,J2725,OSIE,Northern_Ireland
3910726,154,16/08/2018,146619,J2715325320,OSIE,54:49.0,95882,54.16104496,-6.053139561,J2725,OSIE,Northern_Ireland
12093101,154,09/10/2020,146619,J2715325320,OSIE,09:33.0,95882,54.16104496,-6.053139561,J2725,OSIE,Northern_Ireland
12117345,154,26/09/2020,252073,J3819621138,OSIE,48:32.0,263540,54.12064462,-5.886095281,J3821,OSIE,Northern_Ireland
12117456,154,26/09/2020,252075,J3813821210,OSIE,16:52.0,263540,54.12130666,-5.886948903,J3821,OSIE,Northern_Ireland
